Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,26/08/2020 18:24,FALSE,Sheffield Running,3.02,313,00:19:48,142,159,3,157,237,06:33,05:09,40,63,0.97,0,0,--,--,0,0,0,--,--,--,19:48,00:00,0,00:00,No,00:09.8,4,0
Running,25/08/2020 18:27,FALSE,Sheffield Running,1.01,116,07:26.7,139,157,2.1,154,176,07:23,05:02,21,--,0.88,0,0,--,--,0,0,0,--,--,--,07:26.7,00:00,0,00:00,No,00:04.9,2,0
Running,24/08/2020 18:25,FALSE,Sheffield Running,3.02,343,00:20:20,151,167,3.3,153,242,06:44,04:58,41,63,0.97,0,0,--,--,0,0,0,--,--,--,20:20,00:00,0,00:00,No,00:08.7,4,0
Running,15/08/2020 15:00,FALSE,Sheffield Running,1.01,104,05:55.7,156,174,2.2,166,188,05:54,04:08,--,21,1.02,0,0,--,--,0,0,0,--,--,--,05:55.7,00:00,0,00:00,No,00:02.8,2,0
Running,15/08/2020 14:35,FALSE,Sheffield Running,3.02,352,00:19:48,157,171,3.4,155,210,06:34,05:10,41,66,0.99,0,0,--,--,0,0,0,--,--,--,19:48,00:00,0,00:00,No,00:08.8,4,0
Running,13/08/2020 18:22,FALSE,Sheffield Running,4.01,470,00:28:03,150,185,3.5,153,245,06:59,05:42,62,56,0.93,0,0,--,--,0,0,0,--,--,--,28:03:00,00:00,0,00:00,No,00:05.4,5,0
Running,12/08/2020 18:31,FALSE,Sheffield Running,3,330,00:20:00,147,166,3.2,154,218,06:40,05:13,46,72,0.97,0,0,--,--,0,0,0,--,--,--,20:00,00:00,0,00:00,No,06:10.9,3,0
Running,08/08/2020 01:58,FALSE,Sheffield Running,0.39,34,01:10:21,112,113,1,118,118,--,12:04,--,--,0.05,0,0,--,--,0,0,0,--,--,--,01:10:21,00:00,0,00:00,No,10:21.2,1,0
Running,07/08/2020 09:18,FALSE,Sheffield Running,4.01,470,00:28:18,149,175,3.6,149,248,07:04,05:11,55,88,0.95,0,0,--,--,0,0,0,--,--,--,28:18:00,00:00,0,00:00,No,00:03.6,5,0
Running,28/07/2020 17:32,FALSE,Sheffield Running,3,355,00:21:56,145,164,3.1,151,176,07:18,04:54,99,133,0.91,0,0,--,--,0,0,0,--,--,--,21:56,00:00,0,00:00,No,00:04.1,4,0
Running,24/07/2020 18:32,FALSE,Sheffield Running,3.03,304,00:19:22,140,152,3,157,172,06:24,05:23,76,94,0.99,0,0,--,--,0,0,0,--,--,--,19:22,00:00,0,00:00,No,00:10.5,4,0
Running,22/07/2020 17:15,FALSE,Sheffield Running,3,322,00:19:40,146,164,3.1,155,172,06:33,05:11,40,62,0.99,0,0,--,--,0,0,0,--,--,--,19:40,00:00,0,00:00,No,00:00.7,4,0
Running,20/07/2020 17:35,FALSE,Sheffield Running,4.03,365,00:26:59,144,170,3.3,152,232,06:42,04:59,21,80,0.98,0,0,--,--,0,0,0,--,--,--,26:59:00,00:00,0,00:00,No,00:09.8,5,0
Running,10/07/2020 18:18,FALSE,Sheffield Running,3.01,162,00:18:07,115,136,1.5,157,175,06:02,04:47,40,60,1.05,0,0,--,--,0,0,0,--,--,--,18:07,00:00,0,00:00,No,00:03.3,4,0
Running,08/07/2020 16:43,FALSE,Sheffield Running,5.01,468,00:33:04,152,199,3.7,151,170,06:36,05:06,74,131,1,0,0,--,--,0,0,0,--,--,--,33:04:00,00:00,0,00:00,No,00:05.1,6,0
Running,06/07/2020 18:41,FALSE,Sheffield Running,5.1,514,00:33:26,156,184,4.3,152,234,06:33,04:57,14,99,1,0,0,--,--,0,0,0,--,--,--,33:26:00,00:00,0,00:00,No,01:11.5,6,0
Treadmill Running,25/06/2020 18:49,FALSE,Treadmill Running,2.01,214,00:13:55,154,164,3.1,153,203,06:55,04:43,--,--,0.94,0,0,--,--,0,0,0,--,--,--,13:55,00:00,0,00:00,No,00:04.0,3,0
Treadmill Running,24/06/2020 04:52,FALSE,Treadmill Running,1.01,108,07:45.8,140,153,2.2,149,196,07:40,04:52,--,--,0.88,0,0,--,--,0,0,0,--,--,--,07:45.8,00:00,0,00:00,No,00:04.2,2,0
Running,16/06/2020 17:12,FALSE,Sheffield Running,3.02,281,00:18:34,152,164,3.1,162,245,06:09,04:57,24,67,1.01,0,0,--,--,0,0,0,--,--,--,18:34,00:00,0,00:00,No,00:07.8,4,0
Running,11/06/2020 15:46,FALSE,Sheffield Running,5.02,468,00:34:08,146,166,3.1,154,227,06:48,05:02,71,123,0.95,0,0,--,--,0,0,0,--,--,--,34:08:00,00:00,0,00:00,No,00:09.5,6,0
Running,09/06/2020 18:07,FALSE,Sheffield Running,5.01,511,00:32:53,158,190,4,155,240,06:33,04:41,66,100,0.98,0,0,--,--,0,0,0,--,--,--,32:53:00,00:00,0,00:00,No,00:08.2,6,0
Running,08/06/2020 18:10,FALSE,Sheffield Running,4.01,394,00:26:43,151,168,3.3,153,180,06:40,04:29,36,98,0.98,0,0,--,--,0,0,0,--,--,--,26:43:00,00:00,0,00:00,No,00:02.0,5,0
Running,06/06/2020 17:03,FALSE,Sheffield Running,5.01,412,00:34:09,135,173,2.6,155,222,06:49,04:38,42,94,0.95,0,0,--,--,0,0,0,--,--,--,34:09:00,00:00,0,00:00,No,00:03.2,6,0
Running,05/06/2020 18:15,FALSE,Sheffield Running,3.01,286,00:20:24,144,164,2.9,159,174,06:47,04:57,23,74,0.93,0,0,--,--,0,0,0,--,--,--,20:24,00:00,0,00:00,No,00:04.4,4,0
Running,28/05/2020 17:09,FALSE,Sheffield Running,5.01,476,00:34:15,145,178,3.5,154,245,06:50,04:54,68,100,0.95,0,0,--,--,0,0,0,--,--,--,34:15:00,00:00,0,00:00,No,00:03.9,6,0
Running,27/05/2020 18:32,FALSE,Sheffield Running,5.02,501,00:34:16,152,181,3.7,154,236,06:50,03:37,39,99,0.95,0,0,--,--,0,0,0,--,--,--,34:16:00,00:00,0,00:00,No,00:09.7,6,0
Running,26/05/2020 18:36,FALSE,Sheffield Running,3.51,367,00:26:36,144,172,3.1,144,235,07:34,03:53,75,29,0.91,0,0,--,--,0,0,0,--,--,--,26:36:00,00:00,0,00:00,No,03:03.9,4,0
Running,25/05/2020 17:54,FALSE,Sheffield Running,3.01,282,00:20:17,144,161,2.9,153,232,06:45,05:30,35,64,0.96,0,0,--,--,0,0,0,--,--,--,20:17,00:00,0,00:00,No,00:02.8,4,0
Running,19/05/2020 17:42,FALSE,Sheffield Running,4,441,00:30:01,152,192,3.5,149,245,07:30,04:58,57,90,0.89,0,0,--,--,0,0,0,--,--,--,30:01:00,00:00,0,00:00,No,00:01.7,5,0
Running,18/05/2020 17:52,FALSE,Sheffield Running,3,329,00:22:09,154,178,3.4,147,245,07:22,03:38,36,65,0.92,0,0,--,--,0,0,0,--,--,--,22:09,00:00,0,00:00,No,00:02.5,4,0
Running,14/05/2020 18:07,FALSE,Sheffield Running,5.05,414,00:32:44,139,176,3.1,153,176,06:29,04:36,53,105,1,0,0,--,--,0,0,0,--,--,--,32:44:00,00:00,0,00:00,No,00:18.4,6,0
Running,13/05/2020 17:39,FALSE,Sheffield Running,5.1,503,00:34:13,153,173,3.6,153,176,06:42,04:57,48,98,0.97,0,0,--,--,0,0,0,--,--,--,34:13:00,00:00,0,00:00,No,00:31.9,6,0
Running,12/05/2020 17:26,FALSE,Sheffield Running,5.02,433,00:31:43,143,167,3.3,157,239,06:19,04:35,44,100,1.01,0,0,--,--,0,0,0,--,--,--,31:43:00,00:00,0,00:00,No,00:05.8,6,0
Running,11/05/2020 18:26,FALSE,Sheffield Running,2.87,191,00:19:00,121,140,1.9,153,176,06:37,04:48,29,77,0.99,0,0,--,--,0,0,0,--,--,--,19:00,00:00,0,00:00,No,01:37.7,4,0
Running,07/05/2020 18:26,FALSE,Sheffield Running,3.03,285,00:18:50,151,163,3.3,159,172,06:13,05:15,27,80,1.01,0,0,--,--,0,0,0,--,--,--,18:50,00:00,0,00:00,No,00:09.7,4,0
Cardio,04/05/2020 18:20,FALSE,Monday indoor workout,0,--,00:00:00,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,330,10,--,00:00,0,00:00,No,00:00.0,1,0
Treadmill Running,04/05/2020 18:10,FALSE,Treadmill Running,2.01,199,00:12:22,163,183,3.1,163,223,06:09,03:37,--,--,1,0,0,--,--,0,0,0,--,--,--,12:22,00:00,0,00:00,No,00:05.2,3,0
Running,01/05/2020 17:53,FALSE,Sheffield Running,5,535,00:36:23,154,181,3.9,147,242,07:16,04:50,105,82,0.93,0,0,--,--,0,0,0,--,--,--,36:23:00,00:00,0,00:00,No,00:02.0,6,0
Treadmill Running,28/04/2020 17:02,FALSE,Treadmill Running,3.01,321,00:19:21,165,177,3.8,161,213,06:26,03:56,--,--,0.96,0,0,--,--,0,0,0,--,--,--,19:21,00:00,0,00:00,No,00:08.1,4,0
Running,27/04/2020 18:17,FALSE,Sheffield Running,3,312,00:23:37,139,181,3.2,145,240,07:52,03:33,72,5,0.87,0,0,--,--,0,0,0,--,--,--,23:37,00:00,0,00:00,No,00:02.6,4,0
Treadmill Running,27/04/2020 17:48,FALSE,Treadmill Running,1.01,107,06:59.7,152,170,2.3,156,213,06:55,03:58,--,--,0.92,0,0,--,--,0,0,0,--,--,--,06:59.7,00:00,0,00:00,No,00:03.2,2,0
Treadmill Running,17/04/2020 18:47,FALSE,Treadmill Running,1.01,92,06:47.2,136,150,2,152,243,06:42,02:59,--,--,0.98,0,0,--,--,0,0,0,--,--,--,06:47.2,00:00,0,00:00,No,00:05.2,2,0
Treadmill Running,16/04/2020 18:05,FALSE,Treadmill Running,1.01,79,05:37.9,140,152,2,169,226,05:36,02:31,--,--,1.06,0,0,--,--,0,0,0,--,--,--,05:37.9,00:00,0,00:00,No,00:03.5,2,0
Running,15/04/2020 17:18,FALSE,Sheffield Running,5.02,530,00:34:12,156,183,4,148,243,06:48,04:41,70,115,0.99,0,0,--,--,0,0,0,--,--,--,34:12:00,00:00,0,00:00,No,00:09.9,6,0
Running,08/04/2020 17:47,FALSE,Sheffield Running,5.01,315,00:32:37,122,144,2.1,153,235,06:30,05:00,77,120,1,0,0,--,--,0,0,0,--,--,--,32:37:00,00:00,0,00:00,No,00:05.6,6,0
Running,02/04/2020 17:19,FALSE,Sheffield Running,5.03,452,00:31:46,147,173,3.2,151,237,06:19,04:25,67,110,1.04,0,0,--,--,0,0,0,--,--,--,31:46:00,00:00,0,00:00,No,00:08.7,6,0
Running,27/03/2020 16:48,FALSE,Sheffield Running,5.01,469,00:33:14,145,170,3.3,150,245,06:38,04:03,63,97,1,0,0,--,--,0,0,0,--,--,--,33:14:00,00:00,0,00:00,No,00:03.5,6,0
Running,20/03/2020 17:49,FALSE,Sheffield Running,5,430,00:31:39,143,173,3.1,156,234,06:20,04:20,61,106,1.01,0,0,--,--,0,0,0,--,--,--,31:39:00,00:00,0,00:00,No,00:05.2,6,0
Running,19/03/2020 15:01,FALSE,Sheffield Running,5.01,417,00:32:28,140,167,3,155,243,06:29,04:04,58,100,0.99,0,0,--,--,0,0,0,--,--,--,32:28:00,00:00,0,00:00,No,00:14.7,6,0
Running,12/03/2020 18:27,FALSE,Sheffield Running,5.03,456,00:33:15,149,175,3.2,156,248,06:37,04:50,26,71,0.97,0,0,--,--,0,0,0,--,--,--,33:15:00,00:00,0,00:00,No,00:13.7,6,0
Running,11/03/2020 18:55,FALSE,Sheffield Running,5.11,477,00:32:52,154,171,3.6,157,174,06:26,05:02,25,65,0.99,0,0,--,--,0,0,0,--,--,--,32:52:00,00:00,0,00:00,No,00:39.3,6,0
Running,10/03/2020 18:29,FALSE,Sheffield Running,5.03,502,00:36:08,152,174,3.5,151,240,07:11,05:06,26,67,0.92,0,0,--,--,0,0,0,--,--,--,36:08:00,00:00,0,00:00,No,00:09.7,6,0
Running,06/03/2020 18:23,FALSE,Sheffield Running,5.12,518,00:32:21,165,190,4.3,157,241,06:19,05:03,27,70,1,0,0,--,--,0,0,0,--,--,--,32:21:00,00:00,0,00:00,No,00:33.4,6,0
Running,04/03/2020 19:13,FALSE,Sheffield Running,5.05,473,00:32:05,154,174,4,160,240,06:21,04:59,25,69,0.99,0,0,--,--,0,0,0,--,--,--,32:05:00,00:00,0,00:00,No,00:19.5,6,0
Running,03/03/2020 18:31,FALSE,Sheffield Running,5.01,474,00:31:22,157,182,4.1,159,248,06:16,04:23,24,68,1,0,0,--,--,0,0,0,--,--,--,31:22:00,00:00,0,00:00,No,00:03.5,6,0
Running,28/02/2020 18:08,FALSE,Sheffield Running,5.11,525,00:35:55,154,188,3.9,151,177,07:02,04:53,23,67,0.94,0,0,--,--,0,0,0,--,--,--,35:55:00,00:00,0,00:00,No,00:12.5,7,0
Running,24/02/2020 18:20,FALSE,Sheffield Running,2.22,202,00:13:54,150,180,3,161,173,06:15,04:59,9,91,0.99,0,0,--,--,0,0,0,--,--,--,13:54,00:00,0,00:00,No,01:15.5,3,0
Running,24/02/2020 17:07,FALSE,Sheffield Running,3.19,305,00:25:37,139,169,2.6,141,240,08:02,04:53,82,50,0.88,0,0,--,--,0,0,0,--,--,--,25:37:00,00:00,0,00:00,No,01:28.5,4,0
Running,21/02/2020 18:16,FALSE,Sheffield Running,5.02,472,00:32:41,150,178,3.8,157,240,06:31,04:35,30,71,0.98,0,0,--,--,0,0,0,--,--,--,32:41:00,00:00,0,00:00,No,00:08.2,6,0
Running,19/02/2020 18:50,FALSE,Sheffield Running,5.13,507,00:33:32,156,173,4.1,159,243,06:32,04:54,28,72,0.96,0,0,--,--,0,0,0,--,--,--,33:32:00,00:00,0,00:00,No,00:45.7,6,0
Running,18/02/2020 18:15,FALSE,Sheffield Running,4,346,00:24:47,146,167,3.2,159,184,06:11,04:21,102,113,1.02,0,0,--,--,0,0,0,--,--,--,24:47:00,00:00,0,00:00,No,00:02.6,5,0
Running,25/01/2020 11:40,FALSE,Sheffield Running,1.01,101,06:07.5,169,186,2.6,167,184,06:03,04:51,2,24,0.99,0,0,--,--,0,0,0,--,--,--,06:07.5,00:00,0,00:00,No,00:05.6,2,0
Running,25/01/2020 10:56,FALSE,Sheffield Running,5.01,499,00:36:20,148,172,3.6,149,242,07:16,04:50,69,70,0.92,0,0,--,--,0,0,0,--,--,--,36:20:00,00:00,0,00:00,No,00:02.3,6,0
Running,18/01/2020 15:29,FALSE,Sheffield Running,6.03,651,00:44:07,155,186,4.7,142,174,07:19,05:01,94,76,0.95,0,0,--,--,0,0,0,--,--,--,44:07:00,00:00,0,00:00,No,00:11.2,7,0
Running,11/01/2020 15:42,FALSE,Sheffield Running,1.02,96,06:14.6,159,173,2.3,162,173,06:08,05:01,--,29,1,0,0,--,--,0,0,0,--,--,--,06:14.6,00:00,0,00:00,No,00:06.1,2,0
Running,11/01/2020 14:49,FALSE,Sheffield Running,5.02,560,00:37:16,152,182,4.1,146,239,07:26,03:31,52,54,0.92,0,0,--,--,0,0,0,--,--,--,37:16:00,00:00,0,00:00,No,00:11.2,6,0
